Density_Type,Station_Index,X_Coord,Y_Coord,Chargers_Built,Capacity_Robots
High,0,-65.06988059031971,-67.54475594649094,8,16
High,1,-60.78441921358095,-64.22345102824391,4,8
High,2,-64.63910889771634,-66.8575665325956,8,16
Low,0,-2.6387470478145665,-85.11868267722906,6,12
Low,1,6.904082164697613,-81.12511248407912,8,16
Low,2,42.57412782591621,-78.62274241073358,6,12
Median,0,155.54797932994256,-80.57238045778789,8,16
Median,1,154.26873054025532,-82.54368840226397,5,10
Median,2,152.195974616479,-79.03504396831106,7,14
