station_id,longitude,latitude
S_0,-64.54143694999999,-68.31614000375001
S_1,-152.9246225,-78.32807325375
S_2,138.28509353125,-73.6680313575
S_3,-42.3883012025,-85.634291435
S_4,159.2834520625,-83.97339277
S_5,-152.48500750625,-87.43603639375
S_6,169.8627969625,-86.64684668625
S_7,155.85134696875002,-74.67100966375
S_8,-122.6453215375,-77.51452773000001
S_9,-8.190079537375,-73.943828970625
S_10,157.38917343125001,-87.120616811875
S_11,124.20397879999999,-78.80300952374999
S_12,127.64434364375,-88.20153144374999
S_13,-30.18707221875,-80.7990657
S_14,148.7345221625,-81.041278385
S_15,-134.26301543124998,-77.798660115625
S_16,-1.393183166875,-77.13729567749999
S_17,122.06549550625,-85.20238724000001
S_18,143.41986375625,-78.42796225937501
S_19,135.99362270625,-81.559727876875
S_20,146.4740172125,-85.95173826312501
S_21,162.26520084375,-74.55844902375
S_22,-64.030369576875,-65.76759932
S_23,-126.7634047125,-81.62867044000001
S_24,129.44771285625,-81.56573768
S_25,55.84719533687501,-78.33348306124999
S_26,134.455072475,-74.566200975
S_27,-25.730404693125003,-82.88217204125
S_28,-19.008301764375,-85.376568225
S_29,-107.583630175,-86.909078075625
S_30,167.15385985625,-86.754473514375
S_31,-56.38118648625,-86.90289896499999
S_32,-153.51782100625002,-81.83440627375
S_33,-159.98058839375,-81.74823243
S_34,126.78181386875,-72.9244436075
S_35,-123.977363175,-87.302479543125
S_36,136.18355361875,-86.76107019187499
S_37,-3.6687978125,-82.755980470625
S_38,-67.72476630437501,-68.961257715625
S_39,176.943566525,-86.33635819125
S_40,113.321487225,-79.85837002937501
S_41,-105.84618099375001,-80.636800018125
S_42,-49.909129825,-80.60646494562499
S_43,-144.09446901875,-81.324276940625
S_44,-17.761152853124997,-79.79076284312501
S_45,32.52203046625,-80.04828144812501
S_46,-34.172639113125,-87.256173739375
S_47,-8.1314589235625,-86.12569881812499
S_48,149.5220699625,-87.010456913125
S_49,155.97075839374997,-78.763836955
S_50,140.50762863125,-81.96779201125
S_51,-135.24760011249998,-84.949630315625
S_52,-171.36765998124997,-87.934399990625
S_53,91.197734256875,-77.97451707562502
S_54,-119.599824925,-81.94588915687501
S_55,-71.304701320625,-76.87842885999999
S_56,131.76380065625,-77.60026189749999
S_57,153.398179725,-74.125820578125
S_58,-142.28866961875,-87.0145718225
S_59,76.327904433125,-82.55991209812501
S_60,-18.2170682416875,-80.30738584874999
S_61,144.06135106875,-75.56203637375
S_62,-103.23896012750001,-81.02499199562499
S_63,122.6827349375,-77.92400256812499
S_64,-40.0354209154375,-83.56202802312501
S_65,137.986335813125,-84.24624868999999
S_66,-90.9935563885625,-80.64019074875
